Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
DanyTlaw_Haggis,(default package),Card,Card,Long Parameter List,The method has 5 parameters. ,34
DanyTlaw_Haggis,(default package),Card,Card,Long Parameter List,The method has 6 parameters. ,42
DanyTlaw_Haggis,(default package),Card,Card,Long Parameter List,The method has 8 parameters. ,52
DanyTlaw_Haggis,(default package),Client,main,Magic Number,The method contains a magic number: 50000,28
DanyTlaw_Haggis,(default package),Client,erhalteObjekt,Complex Method,Cyclomatic complexity of the method is 19,52
DanyTlaw_Haggis,(default package),Client,erhalteObjekt,Long Method,The method has 119 lines of code.,52
DanyTlaw_Haggis,(default package),Client,erhalteObjekt,Long Statement,The length of the statement "JOptionPane.showMessageDialog(login.getTisch()`"Sie haben " + resultat + " mit "+ endPunkte+ " Punkten!"`titel`JOptionPane.INFORMATION_MESSAGE);" is 144.,52
DanyTlaw_Haggis,(default package),Client,erhalteObjekt,Long Statement,The length of the statement "login.getTisch().lblInfo.setText("<html><div style=\"text-align: center;\">" + lblText + "<br>Runde: "+ game.getRunde()+ "<br/>"+ "</html>");" is 141.,52
DanyTlaw_Haggis,(default package),Client,erhalteObjekt,Long Statement,The length of the statement "login.getTisch().lblInfo.setText("<html><div style=\"text-align: center;\">" + "<br>Runde: " + game.getRunde() + "<br/>"+ "</html>");" is 133.,52
DanyTlaw_Haggis,(default package),Client,erhalteObjekt,Magic Number,The method contains a magic number: 100,52
DanyTlaw_Haggis,(default package),Client,erhalteObjekt,Magic Number,The method contains a magic number: 2,52
DanyTlaw_Haggis,(default package),Client,ladetGegnerInfo,Long Statement,The length of the statement "login.getTisch().setGegnerInfos(game.getSpieler(1).hatBube()`game.getSpieler(1).hatDame()`game.getSpieler(1).hatKoenig());" is 122.,239
DanyTlaw_Haggis,(default package),Client,ladetGegnerInfo,Long Statement,The length of the statement "login.getTisch().setGegnerInfos(game.getSpieler(0).hatBube()`game.getSpieler(0).hatDame()`game.getSpieler(0).hatKoenig());" is 122.,239
DanyTlaw_Haggis,(default package),Client,ladetGegnerInfo,Magic Number,The method contains a magic number: 3,239
DanyTlaw_Haggis,(default package),Client,ladetGegnerInfo,Magic Number,The method contains a magic number: 3,239
DanyTlaw_Haggis,(default package),Client,ladetGegnerInfo,Magic Number,The method contains a magic number: 3,239
DanyTlaw_Haggis,(default package),Client,ladetGegnerInfo,Magic Number,The method contains a magic number: 3,239
DanyTlaw_Haggis,(default package),Deck,Deck,Long Method,The method has 214 lines of code.,97
DanyTlaw_Haggis,(default package),Deck,Deck,Magic Number,The method contains a magic number: 1000,97
DanyTlaw_Haggis,(default package),Deck,Deck,Magic Number,The method contains a magic number: 1300,97
DanyTlaw_Haggis,(default package),Deck,Deck,Magic Number,The method contains a magic number: 100,97
DanyTlaw_Haggis,(default package),Deck,Deck,Magic Number,The method contains a magic number: 150,97
