Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
insoo078_kobis-utils,junit.test.main,KobisDAOServiceTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
insoo078_kobis-utils,org.kobic.kobis.bris.services,BrisServices,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 35
insoo078_kobis-utils,org.kobic.kobis.knnrrc.services,KnnrrcServices,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
insoo078_kobis-utils,org.kobic.kobis.main.dao,KobisDAO,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
insoo078_kobis-utils,org.kobic.kobis.main.dao,KobisDAOService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 27
insoo078_kobis-utils,org.kobic.kobis.main.mapper,KobisMapper,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleLexer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: modeNames (34)
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.LiteralContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.PrimitiveTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.NumericTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.IntegralTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.FloatingPointTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ReferenceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ClassOrInterfaceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ClassTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ClassType_lf_classOrInterfaceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ClassType_lfno_classOrInterfaceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.InterfaceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.InterfaceType_lf_classOrInterfaceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.InterfaceType_lfno_classOrInterfaceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeVariableContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ArrayTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.DimsContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeParameterContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeParameterModifierContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeBoundContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.AdditionalBoundContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeArgumentsContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeArgumentListContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeArgumentContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.WildcardContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.WildcardBoundsContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.PackageNameContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeNameContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.PackageOrTypeNameContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ExpressionNameContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.MethodNameContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.AmbiguousNameContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.CompilationUnitContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.PackageDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.PackageModifierContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ImportDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.SingleTypeImportDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeImportOnDemandDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.SingleStaticImportDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.StaticImportOnDemandDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ClassDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.NormalClassDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ClassModifierContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeParametersContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.TypeParameterListContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.SuperclassContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.SuperinterfacesContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.InterfaceTypeListContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ClassBodyContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ClassBodyDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.ClassMemberDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.FieldDeclarationContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.FieldModifierContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.VariableDeclaratorListContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.VariableDeclaratorContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.VariableDeclaratorIdContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.VariableInitializerContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.UnannTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.UnannPrimitiveTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.UnannReferenceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.UnannClassOrInterfaceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.UnannClassTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.UnannClassType_lf_unannClassOrInterfaceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
insoo078_kobis-utils,org.kobic.kobis.rule.antlr4,RuleParser.UnannClassType_lfno_unannClassOrInterfaceTypeContext,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
