Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,main,197,37,1,32,0,edu.unl.cse.InitMIF,edu.unl.cse.InitMIF; edu.unl.cse.Location; edu.unl.cse.InitS230; edu.unl.cse.instructions.Instruction; edu.unl.cse.InitTrans; edu.unl.cse.Constant; edu.unl.cse.Compiler
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,returnBinaryNumber,31,8,2,372,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Compiler,isWindows,6,2,0,402,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Constant,Constant,4,1,0,8,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Constant,Constant,4,1,1,13,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Constant,Constant,4,1,2,18,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Constant,setValue,3,1,1,23,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Constant,setName,3,1,1,27,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Constant,getValue,3,1,0,31,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Constant,getName,3,1,0,35,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Constant,toString,3,1,0,39,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Constant,equals,6,2,1,43,0,edu.unl.cse.Constant,edu.unl.cse.Constant
mathewreny_ARM230Compiler,edu.unl.cse,InitMIF,InitMIF,6,2,1,12,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitMIF,getPrintWriter,60,11,0,20,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,InitS230,6,2,1,37,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,getScanner,56,9,0,48,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,isInstruction,11,4,1,114,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,isLocation,9,2,1,130,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,sanatizeDataInstr,16,3,1,144,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,getAdReg,7,2,1,165,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,getAdImmd,7,2,1,177,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,getInstruction,134,28,1,195,0,edu.unl.cse.instructions.Instruction,edu.unl.cse.instructions.Instruction; edu.unl.cse.InitS230
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,getLocation,8,1,2,340,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitS230,getConstant,5,1,1,350,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,InitTrans,12,4,1,20,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,getLines,27,7,0,39,0,edu.unl.cse.InitTrans,edu.unl.cse.InitTrans
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,getScanner,33,4,0,80,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,getPrintWriter,28,4,0,120,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,isConstant,6,2,1,153,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,isComment,4,2,1,160,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,isInstruction,9,3,1,175,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,sanitizeInstruction,18,3,1,185,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,getTranslation,43,20,1,207,0,edu.unl.cse.instructions.Instruction,edu.unl.cse.instructions.Instruction; edu.unl.cse.InitTrans
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,toS230,7,2,1,258,0,edu.unl.cse.instructions.Instruction,edu.unl.cse.instructions.Instruction
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,isLocation,15,5,1,267,0,,
mathewreny_ARM230Compiler,edu.unl.cse,InitTrans,isSupportedInstruction,9,3,1,287,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Location,Location,4,1,0,8,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Location,Location,4,1,1,13,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Location,Location,4,1,2,18,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Location,setAddress,3,1,1,23,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Location,setName,3,1,1,27,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Location,getAddress,3,1,0,31,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Location,getName,3,1,0,35,0,,
mathewreny_ARM230Compiler,edu.unl.cse,Location,toString,3,1,0,39,0,,
mathewreny_ARM230Compiler,edu.unl.cse,ADD,ADD,3,1,1,7,0,,
mathewreny_ARM230Compiler,edu.unl.cse,ADD,toS230,3,1,0,12,0,,
mathewreny_ARM230Compiler,edu.unl.cse,ADD,toBinaryInstruction,3,1,0,17,0,,
mathewreny_ARM230Compiler,edu.unl.cse,ADDI,ADDI,3,1,1,6,0,,
mathewreny_ARM230Compiler,edu.unl.cse,ADDI,toS230,3,1,0,10,0,,
mathewreny_ARM230Compiler,edu.unl.cse,ADDI,toBinaryInstruction,8,1,0,15,0,edu.unl.cse.Compiler,edu.unl.cse.Compiler
mathewreny_ARM230Compiler,edu.unl.cse,AND,AND,3,1,1,6,0,,
mathewreny_ARM230Compiler,edu.unl.cse,AND,toS230,3,1,0,10,0,,
mathewreny_ARM230Compiler,edu.unl.cse,AND,toBinaryInstruction,3,1,0,15,0,,
