Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetProvider,getRefreshBroadcastIntent,3,1,2,56,0,,
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetProvider,onReceive,14,3,2,62,0,,
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetProvider,onUpdate,21,2,3,84,0,com.google.android.apps.iosched.appwidget.ScheduleWidgetProvider,com.google.android.apps.iosched.appwidget.ScheduleWidgetProvider
wiki-w_google,com.google.android.apps.iosched.appwidget,ScheduleWidgetRemoteViewsService,onGetViewFactory,3,1,1,59,0,,
wiki-w_google,com.google.android.apps.iosched.gcm.command,AnnouncementCommand,execute,4,1,3,33,0,com.google.android.apps.iosched.gcm.command.AnnouncementCommand,com.google.android.apps.iosched.gcm.command.AnnouncementCommand
wiki-w_google,com.google.android.apps.iosched.gcm.command,AnnouncementCommand,displayNotification,4,1,2,39,0,,
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncCommand,execute,21,3,3,37,0,com.google.android.apps.iosched.gcm.command.SyncCommand,com.google.android.apps.iosched.gcm.command.SyncCommand
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncCommand,scheduleSync,6,1,2,60,0,,
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncUserCommand,execute,21,3,3,37,0,com.google.android.apps.iosched.gcm.command.SyncUserCommand,com.google.android.apps.iosched.gcm.command.SyncUserCommand
wiki-w_google,com.google.android.apps.iosched.gcm.command,SyncUserCommand,scheduleSync,6,1,2,62,0,,
wiki-w_google,com.google.android.apps.iosched.gcm.command,TestCommand,execute,3,1,3,27,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,GCMCommand,execute,0,1,3,21,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,GCMIntentService,GCMIntentService,3,1,0,56,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,GCMIntentService,onRegistered,4,1,2,60,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,GCMIntentService,onUnregistered,9,2,2,66,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,GCMIntentService,onMessage,16,3,2,78,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,GCMIntentService,onError,3,1,2,97,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,GCMIntentService,onRecoverableError,4,1,2,102,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,GCMRedirectedBroadcastReceiver,getGCMIntentServiceClassName,3,1,1,29,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,register,40,4,2,50,0,com.google.android.apps.iosched.gcm.ServerUtilities,com.google.android.apps.iosched.gcm.ServerUtilities
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,unregister,16,1,2,104,0,com.google.android.apps.iosched.gcm.ServerUtilities,com.google.android.apps.iosched.gcm.ServerUtilities
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,setRegisteredOnServer,13,2,3,131,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,isRegisteredOnServer,15,2,1,152,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,getGcmId,4,1,1,175,0,,
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,onSignOut,6,2,1,180,0,com.google.android.apps.iosched.gcm.ServerUtilities,com.google.android.apps.iosched.gcm.ServerUtilities
wiki-w_google,com.google.android.apps.iosched.gcm,ServerUtilities,post,42,5,2,192,0,,
wiki-w_google,com.google.android.apps.iosched.io,AnnouncementsFetcher,AnnouncementsFetcher,3,1,1,50,0,,
wiki-w_google,com.google.android.apps.iosched.io,AnnouncementsFetcher,fetchAndParse,32,5,0,54,0,com.google.android.apps.iosched.io.AnnouncementsFetcher,com.google.android.apps.iosched.io.AnnouncementsFetcher
wiki-w_google,com.google.android.apps.iosched.io,AnnouncementsFetcher,appendIfNotEmpty,5,2,2,119,0,,
wiki-w_google,com.google.android.apps.iosched.io,BlocksHandler,BlocksHandler,3,1,1,43,0,,
wiki-w_google,com.google.android.apps.iosched.io,BlocksHandler,parse,20,3,1,47,0,com.google.android.apps.iosched.io.BlocksHandler,com.google.android.apps.iosched.io.BlocksHandler
wiki-w_google,com.google.android.apps.iosched.io,BlocksHandler,parseSlot,29,3,3,68,0,,
wiki-w_google,com.google.android.apps.iosched.io,FeedbackHandler,FeedbackHandler,3,1,1,42,0,,
wiki-w_google,com.google.android.apps.iosched.io,FeedbackHandler,uploadNew,52,5,1,46,0,,
wiki-w_google,com.google.android.apps.iosched.io,HandlerException,HandlerException,3,1,0,27,0,,
wiki-w_google,com.google.android.apps.iosched.io,HandlerException,HandlerException,3,1,1,31,0,,
wiki-w_google,com.google.android.apps.iosched.io,HandlerException,HandlerException,4,1,2,35,0,,
wiki-w_google,com.google.android.apps.iosched.io,HandlerException,toString,8,2,0,40,0,,
wiki-w_google,com.google.android.apps.iosched.io,JSONHandler,JSONHandler,3,1,1,40,0,,
wiki-w_google,com.google.android.apps.iosched.io,JSONHandler,parse,0,1,1,44,0,,
wiki-w_google,com.google.android.apps.iosched.io,JSONHandler,parseAndApply,13,1,1,46,0,com.google.android.apps.iosched.io.JSONHandler,com.google.android.apps.iosched.io.JSONHandler
wiki-w_google,com.google.android.apps.iosched.io,JSONHandler,parseResource,16,2,2,58,0,,
wiki-w_google,com.google.android.apps.iosched.io,MapPropertyHandler,MapPropertyHandler,3,1,1,46,0,,
wiki-w_google,com.google.android.apps.iosched.io,MapPropertyHandler,parse,9,1,1,50,0,com.google.android.apps.iosched.io.MapPropertyHandler,com.google.android.apps.iosched.io.MapPropertyHandler
wiki-w_google,com.google.android.apps.iosched.io,MapPropertyHandler,parseConfig,4,1,2,61,0,,
wiki-w_google,com.google.android.apps.iosched.io,MapPropertyHandler,parseMarkers,16,3,2,66,0,,
wiki-w_google,com.google.android.apps.iosched.io,MapPropertyHandler,parseTileOverlays,12,2,3,97,0,,
wiki-w_google,com.google.android.apps.iosched.io,MapPropertyHandler,getTiles,3,1,0,127,0,,
wiki-w_google,com.google.android.apps.iosched.io,RoomsHandler,RoomsHandler,3,1,1,37,0,,
wiki-w_google,com.google.android.apps.iosched.io,RoomsHandler,parse,9,2,1,41,0,com.google.android.apps.iosched.io.RoomsHandler,com.google.android.apps.iosched.io.RoomsHandler
wiki-w_google,com.google.android.apps.iosched.io,RoomsHandler,parseRoom,7,1,2,51,0,,
wiki-w_google,com.google.android.apps.iosched.io,SearchSuggestHandler,SearchSuggestHandler,3,1,1,33,0,,
wiki-w_google,com.google.android.apps.iosched.io,SearchSuggestHandler,parse,11,3,1,37,0,,
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,SessionsHandler,3,1,1,66,0,,
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,fetchAndParse,56,7,1,70,0,com.google.android.apps.iosched.io.SessionsHandler,com.google.android.apps.iosched.io.SessionsHandler
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,parseString,12,1,2,148,0,com.google.android.apps.iosched.io.SessionsHandler,com.google.android.apps.iosched.io.SessionsHandler
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,buildContentProviderOperations,145,32,3,161,0,com.google.android.apps.iosched.io.SessionsHandler,com.google.android.apps.iosched.io.SessionsHandler
wiki-w_google,com.google.android.apps.iosched.io,SessionsHandler,makeSessionUrl,6,2,1,440,0,,
wiki-w_google,com.google.android.apps.iosched.io,SpeakersHandler,SpeakersHandler,2,1,1,44,0,,
wiki-w_google,com.google.android.apps.iosched.io,SpeakersHandler,fetchAndParse,14,2,1,46,0,com.google.android.apps.iosched.io.SpeakersHandler,com.google.android.apps.iosched.io.SpeakersHandler
