Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
ngladitz_emma,com.vladium.emma.ant,GenericCfg,getFileSettings,Long Statement,The length of the statement "throw (BuildException)SuppressableTask.newBuildException(m_task.getTaskName() + ": property file [" + m_settingsFile.getAbsolutePath()+ "] could not be read"`ioe`m_task.getLocation()).fillInStackTrace();" is 203.,71
ngladitz_emma,com.vladium.emma.ant,GenericCfg,getGenericSettings,Long Statement,The length of the statement "throw (BuildException)SuppressableTask.newBuildException(m_task.getTaskName() + ": conflicting settings for property [" + name+ "]: ["+ value+ "]"`m_task.getLocation()).fillInStackTrace();" is 188.,94
ngladitz_emma,com.vladium.emma.ant,SuppressableTask,newBuildException,Long Statement,The length of the statement "final String prefixedMsg=((msg == null) || (msg.length() == 0)) ? msg : IAppConstants.APP_THROWABLE_BUILD_ID + " " + msg;" is 121.,80
ngladitz_emma,com.vladium.emma.ant,SuppressableTask,newBuildException,Long Statement,The length of the statement "final String prefixedMsg=((msg == null) || (msg.length() == 0)) ? msg : IAppConstants.APP_THROWABLE_BUILD_ID + " " + msg;" is 121.,89
ngladitz_emma,com.vladium.emma.ant,VerbosityCfg,getSettings,Long Statement,The length of the statement "if ((m_verbosity != null) && (m_verbosity.trim().length() > 0)) settings.setProperty(AppLoggers.PROPERTY_VERBOSITY_LEVEL`m_verbosity.trim());" is 141.,69
ngladitz_emma,com.vladium.emma.ant,VerbosityCfg,getSettings,Long Statement,The length of the statement "if ((m_verbosityFilter != null) && (m_verbosityFilter.trim().length() > 0)) settings.setProperty(AppLoggers.PROPERTY_VERBOSITY_FILTER`m_verbosityFilter.trim());" is 160.,69
ngladitz_emma,com.vladium.emma,ANTMain,main,Long Statement,The length of the statement "System.out.println("this jar contains ANT task definitions for " + IAppConstants.APP_NAME + " and is not meant to be executable");" is 130.,23
ngladitz_emma,com.vladium.emma,emmajavaTask,execute,Complex Method,Cyclomatic complexity of the method is 24,54
ngladitz_emma,com.vladium.emma,emmajavaTask,execute,Long Statement,The length of the statement "if (getClasspath() == null) throw (BuildException)SuppressableTask.newBuildException(getTaskName() + ": this task requires 'classpath' attribute to be set"`location).fillInStackTrace();" is 185.,54
ngladitz_emma,com.vladium.emma,emmajavaTask,execute,Long Statement,The length of the statement "if (m_forkUserOverride && !m_fork) log(getTaskName() + ": 'fork=\"false\"' attribute setting ignored (this task always forks)"`Project.MSG_WARN);" is 145.,54
ngladitz_emma,com.vladium.emma,emmajavaTask,execute,Long Statement,The length of the statement "if (m_outFile != null) log(getTaskName() + ": output file attribute ignored ('fullmetadata=\"true\"' not specified)"`Project.MSG_WARN);" is 135.,54
ngladitz_emma,com.vladium.emma,emmajavaTask,execute,Long Statement,The length of the statement "if (m_outFileMerge != null) log(getTaskName() + ": merge attribute setting ignored ('fullmetadata=\"true\"' not specified)"`Project.MSG_WARN);" is 142.,54
ngladitz_emma,com.vladium.emma,emmajavaTask,execute,Long Statement,The length of the statement "final IProperties settings=IProperties.Factory.combine(reportSettings`IProperties.Factory.combine(verbositySettings`IProperties.Factory.combine(genericSettings`fileSettings)));" is 176.,54
ngladitz_emma,com.vladium.emma,emmajavaTask,execute,Long Statement,The length of the statement "else throw (BuildException)SuppressableTask.newBuildException(getTaskName() + "either 'jar' or 'classname' attribute must be set"`location).fillInStackTrace();" is 159.,54
ngladitz_emma,com.vladium.emma,emmajavaTask,execute,Long Statement,The length of the statement "else throw (BuildException)SuppressableTask.newBuildException(getTaskName() + "either 'jar' or 'classname' attribute must be set"`location).fillInStackTrace();" is 159.,54
ngladitz_emma,com.vladium.emma,emmajavaTask,setClassname,Long Statement,The length of the statement "if (getJar() != null) throw (BuildException)SuppressableTask.newBuildException(getTaskName() + "'jar' and 'classname' attributes cannot be set at the same time"`location).fillInStackTrace();" is 190.,244
ngladitz_emma,com.vladium.emma,emmajavaTask,setJar,Long Statement,The length of the statement "if (getClassname() != null) throw (BuildException)SuppressableTask.newBuildException(getTaskName() + "'jar' and 'classname' attributes cannot be set at the same time"`location).fillInStackTrace();" is 196.,253
ngladitz_emma,com.vladium.emma,emmajavaTask,setArgs,Long Statement,The length of the statement "throw (BuildException)SuppressableTask.newBuildException(getTaskName() + ": disallows using <java>'s deprecated 'args' attribute"`location).fillInStackTrace();" is 159.,284
ngladitz_emma,com.vladium.emma,emmajavaTask,setSessiondatafile,Long Statement,The length of the statement "if (m_outFile != null) throw (BuildException)SuppressableTask.newBuildException(getTaskName() + ": session data file attribute already set"`location).fillInStackTrace();" is 169.,390
ngladitz_emma,com.vladium.emma,emmajavaTask,setOutfile,Long Statement,The length of the statement "if (m_outFile != null) throw (BuildException)SuppressableTask.newBuildException(getTaskName() + ": session data file attribute already set"`location).fillInStackTrace();" is 169.,399
ngladitz_emma,com.vladium.emma,Command,initialize,Empty catch clause,The method has an empty catch block.,72
ngladitz_emma,com.vladium.emma,Command,getToolName,Magic Number,The method contains a magic number: 7,80
ngladitz_emma,com.vladium.emma,Command,processOpt,Complex Method,Cyclomatic complexity of the method is 9,94
ngladitz_emma,com.vladium.emma,Command,processOpt,Long Statement,The length of the statement "setPropertyOverride(AppLoggers.PROPERTY_VERBOSITY_FILTER`Strings.toListForm(Strings.merge(opt.getValues()`COMMA_DELIMITERS`true)`'`'));" is 135.,94
ngladitz_emma,com.vladium.emma,Command,exit,Complex Method,Cyclomatic complexity of the method is 9,208
ngladitz_emma,com.vladium.emma,Command,exit,Long Statement,The length of the statement "else if (t != null) throw msg != null ? new EMMARuntimeException(msg`t) : new EMMARuntimeException("unexpected failure: "`t);" is 125.,208
ngladitz_emma,com.vladium.emma,EMMAProperties,getAppProperties,Long Statement,The length of the statement "properties=IProperties.Factory.combine(userOverrides`IProperties.Factory.combine(system`IProperties.Factory.combine(systemFile`IProperties.Factory.combine(appDefaults`systemRedirects))));" is 187.,125
ngladitz_emma,com.vladium.emma,runCommand,run,Complex Method,Cyclomatic complexity of the method is 28,33
ngladitz_emma,com.vladium.emma,runCommand,run,Long Method,The method has 151 lines of code.,33
ngladitz_emma,com.vladium.emma,runCommand,run,Long Statement,The length of the statement "usageexit(parser`IOptsParser.SHORT_USAGE`"could not infer coverage classpath from 'java.class.path'; use an explicit -cp option");" is 130.,33
ngladitz_emma,com.vladium.emma,runCommand,openJarFile,Empty catch clause,The method has an empty catch block.,294
ngladitz_emma,com.vladium.emma.data,mergeTask,execute,Long Statement,The length of the statement "if ((files == null) || (files.length == 0)) throw (BuildException)newBuildException(getTaskName() + ": no valid input data files have been specified"`location).fillInStackTrace();" is 179.,33
ngladitz_emma,com.vladium.emma.data,mergeTask,setMergefile,Long Statement,The length of the statement "if (m_outFile != null) throw (BuildException)newBuildException(getTaskName() + ": merge data file attribute already set"`location).fillInStackTrace();" is 150.,55
ngladitz_emma,com.vladium.emma.data,mergeTask,setOutfile,Long Statement,The length of the statement "if (m_outFile != null) throw (BuildException)newBuildException(getTaskName() + ": merge data file attribute already set"`location).fillInStackTrace();" is 150.,64
ngladitz_emma,com.vladium.emma.data,mergeTask,setTofile,Long Statement,The length of the statement "if (m_outFile != null) throw (BuildException)newBuildException(getTaskName() + ": merge data file attribute already set"`location).fillInStackTrace();" is 150.,73
ngladitz_emma,com.vladium.emma.data,mergeTask,setFile,Long Statement,The length of the statement "if (m_outFile != null) throw (BuildException)newBuildException(getTaskName() + ": merge data file attribute already set"`location).fillInStackTrace();" is 150.,82
ngladitz_emma,com.vladium.emma.data,ClassDescriptor,ClassDescriptor,Complex Method,Cyclomatic complexity of the method is 8,29
ngladitz_emma,com.vladium.emma.data,ClassDescriptor,ClassDescriptor,Long Parameter List,The method has 5 parameters. ,29
ngladitz_emma,com.vladium.emma.data,ClassDescriptor,hashCode,Magic Number,The method contains a magic number: 16661,86
ngladitz_emma,com.vladium.emma.data,ClassDescriptor,toString,Long Statement,The length of the statement "StringBuffer s=new StringBuffer(indent + "class [" + (m_packageVMName.length() > 0 ? m_packageVMName + "/" : "")+ m_name+ "] descriptor:");" is 139.,150
ngladitz_emma,com.vladium.emma.data,CoverageData,merge,Complex Conditional,The conditional expression (rhs == null) || rhs.isEmpty() || (rhs == this) is complex.,154
ngladitz_emma,com.vladium.emma.data,CoverageOptionsFactory,create,Long Statement,The length of the statement "final boolean excludeSyntheticMethods=Property.toBoolean(properties.getProperty(InstrProcessor.PROPERTY_EXCLUDE_SYNTHETIC_METHODS`InstrProcessor.DEFAULT_EXCLUDE_SYNTHETIC_METHODS));" is 181.,26
ngladitz_emma,com.vladium.emma.data,CoverageOptionsFactory,create,Long Statement,The length of the statement "final boolean excludeBridgeMethods=Property.toBoolean(properties.getProperty(InstrProcessor.PROPERTY_EXCLUDE_BRIDGE_METHODS`InstrProcessor.DEFAULT_EXCLUDE_BRIDGE_METHODS));" is 172.,26
ngladitz_emma,com.vladium.emma.data,CoverageOptionsFactory,create,Long Statement,The length of the statement "final boolean doSUIDCompensaton=Property.toBoolean(properties.getProperty(InstrProcessor.PROPERTY_DO_SUID_COMPENSATION`InstrProcessor.DEFAULT_DO_SUID_COMPENSATION));" is 165.,26
ngladitz_emma,com.vladium.emma.data,CoverageOptionsFactory,create,Long Statement,The length of the statement "final boolean excludeSyntheticMethods=Property.toBoolean(properties.getProperty(InstrProcessor.PROPERTY_EXCLUDE_SYNTHETIC_METHODS`InstrProcessor.DEFAULT_EXCLUDE_SYNTHETIC_METHODS));" is 181.,43
ngladitz_emma,com.vladium.emma.data,CoverageOptionsFactory,create,Long Statement,The length of the statement "final boolean excludeBridgeMethods=Property.toBoolean(properties.getProperty(InstrProcessor.PROPERTY_EXCLUDE_BRIDGE_METHODS`InstrProcessor.DEFAULT_EXCLUDE_BRIDGE_METHODS));" is 172.,43
ngladitz_emma,com.vladium.emma.data,CoverageOptionsFactory,create,Long Statement,The length of the statement "final boolean doSUIDCompensaton=Property.toBoolean(properties.getProperty(InstrProcessor.PROPERTY_DO_SUID_COMPENSATION`InstrProcessor.DEFAULT_DO_SUID_COMPENSATION));" is 165.,43
ngladitz_emma,com.vladium.emma.data,DataFactory,readMetaData,Empty catch clause,The method has an empty catch block.,116
ngladitz_emma,com.vladium.emma.data,DataFactory,readMetaData,Magic Number,The method contains a magic number: 32,116
ngladitz_emma,com.vladium.emma.data,DataFactory,readMetaData,Magic Number,The method contains a magic number: 1024,116
ngladitz_emma,com.vladium.emma.data,DataFactory,writeMetaData,Empty catch clause,The method has an empty catch block.,140
ngladitz_emma,com.vladium.emma.data,DataFactory,readCoverageData,Empty catch clause,The method has an empty catch block.,160
ngladitz_emma,com.vladium.emma.data,DataFactory,readCoverageData,Magic Number,The method contains a magic number: 32,160
ngladitz_emma,com.vladium.emma.data,DataFactory,readCoverageData,Magic Number,The method contains a magic number: 1024,160
ngladitz_emma,com.vladium.emma.data,DataFactory,mergeload,Complex Method,Cyclomatic complexity of the method is 18,393
ngladitz_emma,com.vladium.emma.data,DataFactory,mergeload,Empty catch clause,The method has an empty catch block.,393
ngladitz_emma,com.vladium.emma.data,DataFactory,mergeload,Long Statement,The length of the statement "throw new IOException("file [" + file.getAbsolutePath() + "] is corrupt or was not created by "+ IAppConstants.APP_NAME);" is 121.,393
ngladitz_emma,com.vladium.emma.data,DataFactory,mergeload,Magic Number,The method contains a magic number: 2,393
ngladitz_emma,com.vladium.emma.data,DataFactory,persist,Complex Method,Cyclomatic complexity of the method is 25,502
ngladitz_emma,com.vladium.emma.data,DataFactory,persist,Empty catch clause,The method has an empty catch block.,502
ngladitz_emma,com.vladium.emma.data,DataFactory,persist,Empty catch clause,The method has an empty catch block.,502
ngladitz_emma,com.vladium.emma.data,DataFactory,persist,Long Method,The method has 103 lines of code.,502
ngladitz_emma,com.vladium.emma.data,DataFactory,persist,Long Statement,The length of the statement "if (magic != MAGIC) throw new IOException("cannot overwrite [" + file.getAbsolutePath() + "]: not created by "+ IAppConstants.APP_NAME);" is 136.,502
ngladitz_emma,com.vladium.emma.data,DataFactory,persist,Long Statement,The length of the statement "throw new IOException("cannot merge new data into [" + file.getAbsolutePath() + "]: created by another "+ IAppConstants.APP_NAME+ " version ["+ makeAppVersion(major`minor`build)+ "]");" is 184.,502
